,dynasty,author,content,title,keywords
48,Ming,黄淮,见雁忆故乡|闻蛩思织妇|笑语是谁家|声逐微风度,四时词 其三,风度 笑语 谁家 微
124,Song,姚勉,群花各娇春|粲若锦绣谷|于焉日逍遥|中有人如玉,王君猷花圃八绝 其四 花谷,玉 锦绣 群花 逍遥
126,Sui,李百药,窗里怜灯暗|阶前畏月明|不辞逢露湿|祗为重宵行,咏萤火示情人,灯暗 怜 月明 露湿
203,Ming,伦以谅,炼丹朱明洞|寄迹飞来山|五百年前事|春风为解颜,葛坛,朱明 解颜 寄迹 春风
243,Ming,曹于汴,吾将益人善|因之攻人瑕|区区亦疏耳|如煮水灌花,省躬诗 其五十七,吾将 区区 耳 水
368,Ming,欧大任,风飘鸣玉音|爽气生衣袂|上攀百尺藤|朝夕挹山翠,翠岩,山翠 风飘 爽气 朝夕
376,Song,吕本中,一夏病如此|他乡闲未回|疏檐闻鹊喜|知有远书来,闻鹊,病 鹊喜 他乡 未回
554,Ming,区元晋,近市轻烟浮|晨炊日已晏|醒来看黄粱|犹似梦中饮,顺昌县途中用壁间韵感述 其二,近市 梦中 轻烟 黄粱
594,Ming,屈大均,长官尽奸富|为恶未渠央|各使金如粟|各使马如羊,民谣 其十,未 马 长官 金
597,Ming,莫懋,策杖看耕图|拖云出深谷|回头日未斜|还可将书读,阅耕,策杖 日未 深谷 回头
951,Ming,王渐逵,冷风吹短裾|落日鸣蝉急|洗足临苍矶|江湖没眠石,偶成 其二,冷风 鸣蝉 江湖 落日
1076,Ming,霍与瑕,岭外四时暖|残冬花欲然|忽睹非常瑞|雪应到今年,早春即事和韵 其一,瑞 暖 岭外 残冬
1369,Ming,毕自严,屈指归来日|中秋桂影圆|赏心无个事|棠棣倍相怜,屈指归来日效白体七首 其一,屈指 赏心 中秋 棠棣
1425,Song,刘攽,仙去遗金鼎|年深认劫灰|怀人何限意|时向鼎池来,鼎池,怀人 金鼎 仙去 劫灰
1448,Ming,王世贞,世尊莲正青|远公莲自白|尔向青白间|别作天水碧,弇园杂咏四十三首 其三十八 碧莲池,青白 莲 水碧 天
1492,Tang,崔道融,满眼桃李花|愁人如不见|别有惜花人|东风莫吹散,春题二首 其二,满眼 愁人 东风 桃李
1531,Song,赵蕃,亭能招南山|径亦栽黄菊|我乃愿师陶|过公期托宿,悠然亭,栽 招 黄菊 南山
1636,Song,许及之,梅格依然在|诗家莫认桃|纵烦金井水|终近楚人骚,红梅,楚人 桃 诗家 金井
1692,Song,方回,有画无言语|斯文岂易知|人心对天一|更向画前窥,先天易吟三十首 其十一,人心 窥 对 言语
1694,Tang,钱珝,堤坏漏江水|地坳成野塘|晚荷人不折|留取作秋香,江行无题一百首 其六十一,江水 野塘 秋香 留取
1829,Song,文天祥,亭亭凤凰台|江城孤照日|胡来满彤宫|驱马一万匹,建康府第十五,凤凰 亭亭 驱马 江城
2025,Song,熊鉌,正直男子身|自有神与谋|世治天理现|何必事祷求,送税官仇副使诗十首 其八,现 天理 谋 男子
2069,Song,白玉蟾,颛帝位方禅|勾芒印已交|芭蕉有封事|黄鸟莫𫍢𫍢,立春,封事 黄鸟 禅 芭蕉
2098,Tang,张乔,拥棹思悠悠|更深泛积流|唯将一星火|何处宿芦洲,渔家,悠悠 宿 泛 星火
2111,Song,翁森,春风桃灼灼|秋雨黍离离|眼底千年事|空山独坐时,山斋偶书,空山 离离 年事 秋雨
2126,Yuan,朱晞颜,莼鲈秋正好|江海未归人|若遇严陵濑|无烦鱼鸟嗔,送俞君实十首以长因送人处忆得别家时为韵 其四,鱼鸟 莼鲈 江海 归人
2253,Song,冯山,野景宜花看|秋芳近水多|溪流光不断|千尺粉红罗,阆中蒲氏园亭十咏 其三 芙蓉溪,近水 溪流 光 宜
2312,Ming,吕时臣,汉人马上来|秦人马上去|长条不折时|遮遍长安路,折杨柳歌,路 秦人 长条 长安
2424,Ming,程敏政,有鸟名翠碧|无花艳海棠|依依留不去|颜色两相当,题汪玺贡士四禽图 其三,名 海棠 艳 颜色
2435,Song,刘克庄,入佛名无本|归儒字浪仙|韩公虽稍黠|不晓句参禅,洛浦善先长老赠诗自方无本惠勤答诗二首 其二,字 名 句 参禅
2574,Song,王安石,一公持一钵|想复度遥岑|地瘦无黄犊|春来草更深,草堂一上人,持 草 黄犊 遥岑
2624,Ming,袁宏道,鱼书曾有约|千里若为函|潇湘无限水|不遣到龙潭,龙湖师 其五,鱼书 龙潭 水 潇湘
2654,Tang,皮日休,一勺如琼液|将愚拟望贤|欲知心不变|还似饮贪泉,聪明泉,饮 变 欲知 贪泉
2739,Ming,释函可,素丝绣荷花|杂丝绣荷叶|荷叶将比君|荷花将比妾,子夜歌二首 其一,荷花 素丝 荷叶 将
2920,Song,朱熹,南山春笋多|万里行枯腊|不落盘餐中|今知绿如箦,次刘秀野蔬食十三诗韵 其十一 笋脯,行 盘餐 春笋 南山
3060,Song,陈造,李蔡下中尔|万目指骞腾|何蕃头欲白|秋窗耿青灯,再次赠张学录韵十诗 其六,青灯 指 秋窗 头
3139,Ming,彭孙贻,问棹黄花后|归丹绿水前|石湖烟月满|孤负载花船,石湖,黄花 绿水 月满 孤负
3178,Ming,屈大均,菊花先爱黄|次乃及红白|黄者味逾甘|落英犹可惜,从石涛禅师乞花插瓶 其三,红白 甘 落英 菊花
3186,Ming,李孙宸,露下衣裳冷|邀欢子夜初|援琴试新曲|山水意何如,冬夜伍国开有开同诸从过宿小楼以酒态美如嵇叔夜诗才清似沈休文为韵赋十四绝 其四,山水 露下 子夜 衣裳
3207,Ming,湛若水,耕陇恐破云|云破成离披|纵然耕破罢|犹得补山衣,斗潭八景 其四 南陇耕云,成 罢 补 云破
3288,Ming,龚诩,积丝方满寸|累尺渐成端|持入公门里|何人著眼看,田家词 其一,里 眼看 寸 著
3360,Ming,胡奎,日落楚江头|美人生远愁|采芳纫作佩|翠袖不胜秋,题兰竹图,江头 日落 美人 翠袖
3394,Yuan,周霆震,杀气频年盛|南昌接武昌|帝城春有路|昨夜梦钱塘,拟复愁十二首 其二,帝城 昨夜 杀气 钱塘
