,dynasty,author,content,title,keywords
361,Ming,王世贞,腰间辘轳剑|错莫无精光|不是芙蓉浅|纯钩北斗傍,过于鳞郡斋分韵赋十二体得傍字,辘轳 北斗 浅 芙蓉
609,Song,张尧同,不入红尘市|安居三十年|至今庵下路|芳草碧芊芊,嘉禾百咏 其七十一 姜庵,芊芊 安居 红尘 芳草
1061,Ming,彭孙贻,风定络纬语|晚凉池馆生|萧萧响高树|半巳作秋声,斋卧偶成 其一,秋声 萧萧 晚凉 池馆
1118,Ming,彭孙贻,草堂面山郭|其中张素琴|客至主不出|但闻梁父吟,杂诗 其七,素琴 山郭 梁父 草堂
1121,Ming,张诩,金锁有馀光|傍观羡一饱|何以沈此潭|异兽圣不宝,沈犀潭,金锁 羡 沈 馀光
1149,Song,宋伯仁,脱白弄青玉|风味犹辛酸|指日梦惟肖|羹调天下安,梅花喜神谱 其六 就实六枝,天下 风味 辛酸 指日
1589,Ming,苏仲,白首消棋兴|黄花对酒颜|乞骸如可愿|何事利名关,求闲,黄花 对酒 白首 利名
1656,Ming,张溥,江鲤应难制|冥鸿不可招|落梅歌一曲|风雨夜潇潇,怀人,风雨 冥鸿 潇潇 落梅
1879,Song,李觏,庶人常用贽|贵在不飞迁|饱食待庖宰|虚教两翅全,鸭,待 迁 饱食 虚教
1934,Ming,王夫之,无识自有情|咫尺银河渡|不问许多时|渠还在何处,相思子,渡 银河 渠还 咫尺
2279,Sui,李世民,贞条障曲砌|翠叶贯寒霜|拂牖分龙影|临池待凤翔,赋得临池竹,待 翠叶 分 寒霜
2288,Song,贺铸,猎儿燕楚俗|得意唯驰逐|不知庙堂上|坐饱万钱肉,感兴六首 其四,楚俗 燕 庙 驰逐
2397,Ming,王龙起,叶老春将尽|天寒雨未晴|离心何处切|杜宇一声声,客中晚春,杜宇 声 天寒 离心
2503,Song,洪适,鹂庚翻柳去|拾羽渍轻花|战战枝如压|无风势亦斜,盘洲杂韵上 黄莺儿,去 斜 轻花 枝
